text,label,label_id
Why has my transfer not arrived yet?,transfer_not_received_by_recipient,0
"Hae there, I have a transaction that is in progress despite the fact that the ATM was not working, what do I do to avoid being charged?",pending_cash_withdrawal,1
"I tried to make a withdrawal from the ATM, but it was cancelled.",declined_cash_withdrawal,2
It is common for an international transfer to take 2 days or longer? I made a transfer from France 2 days ago and I have not seen it yet.,balance_not_updated_after_bank_transfer,3
I am getting continuous failure for all my transfers. I have cross checked each recipient detail again and again and everything is correct.,declined_transfer,4
Why do I get declined when I try to withdraw cash?,declined_cash_withdrawal,2
is there a limit for top up?,top_up_limits,5
You promised no fees but now I've got one. What the hell!?,card_payment_fee_charged,6
"I'm locked out of my account as I can't remember my code, what do I do now?",passcode_forgotten,7
Why do you keep declining my payment?I tried several times already with this card and it is just not working.,declined_card_payment,8
Is it possible to refund an item?,request_refund,9
Where do I find a virtual card?,getting_virtual_card,10
What can I do to verify my identity?,verify_my_identity,11
What is the delivery time to the US?,card_delivery_estimate,12
"When exchanging currencies, is there an extra fee?",exchange_charge,13
How is the top-up card verified?,verify_top_up,14
I want to create a new pin.,change_pin,15
how much does it cost to add money to my card,top_up_by_card_charge,16
Can you help me transfer money into my friend's bank account? I tried to do it but it keeps rejecting me. I need to get the money in there asap. I have enough and all the account info is correct.,failed_transfer,17
Can I freeze my card right now?,compromised_card,18
What's the transfer time from Europe?,transfer_timing,19
Can you please check if I was charged twice?,transaction_charged_twice,20
How do I exchange currencies using this app?,exchange_via_app,21
Can I have more disposable cards?,disposable_card_limits,22
Can I add money to my account with cash?,top_up_by_cash_or_cheque,23
"If I request that my funds be held, what currencies do you use?",fiat_currency_support,24
I've got charges on my account I did not authorize. Can I get this money back from the last couple of days that it's been coming out? I also need to freeze my card.,card_payment_not_recognised,25
What currency can I use to add money?,supported_cards_and_currencies,26
can you tell me why my transfer failed?,failed_transfer,17
How can I unblock my PIN?,pin_blocked,27
It looks like my card payment was sent back.,reverted_card_payment?,28
What is the base of the exchange rates?,exchange_rate,29
I tried to pull cash from an ATM but it wouldn't let me.,declined_cash_withdrawal,2
Hello. I'm on holiday and didn't bring any cash with me. I need to withdrawal my home currency from one of your machines. Do you have any that will do this and is there a charge?,wrong_exchange_rate_for_cash_withdrawal,30
My address has changed.,edit_personal_details,31
Extra charge during transfer,transfer_fee_charged,32
I have an unknown charge.,direct_debit_payment_not_recognised,33
How do I use contactless payments?,contactless_not_working,34
how do I ask for a physical card?,order_physical_card,35
"I ordered a card a week ago, and it's still not here. What do I do?",card_arrival,36
"Is there anyway, I can get a disposable virtual card?",get_disposable_virtual_card,37
"So, I am in the middle of purchasing a flat. I need the money for the first mortgage payment and it is not going through. I keep receiving an error. Can you find out what's going on and help me complete this transfer?",failed_transfer,17
How come the money from the merchant appeared back into my account?,reverted_card_payment?,28
Why am I being a charged for using my card?,card_payment_fee_charged,6
What do I do if my card is stolen?,lost_or_stolen_card,38
Where can I get a physical card?,order_physical_card,35
What country's money can I hold currency in?,fiat_currency_support,24
"I am dissatisfied, I would like to close my account.",terminate_account,39
I accidentally blocked my PIN. How do I reset it?,pin_blocked,27
Tell me why my virtual disposable card won't work.,virtual_card_not_working,40
Please check my payment from last Saturday as I feel I have been overcharged on the exchange rate.  Thank you.,card_payment_wrong_exchange_rate,41
What do I need in regards to identification?,verify_my_identity,11
What is the average pending time for a transaction?,pending_transfer,42
Which atms allow me to change my pin?,change_pin,15
Why do you need to check my identity?,why_verify_identity,43
I tired to get cash in the ATM but it was cancelled,declined_cash_withdrawal,2
"lost my phone, dont want others to use it.",lost_or_stolen_phone,44
I'm wondering how long it takes for my money to get to me after a bank transfer.,balance_not_updated_after_bank_transfer,3
Earlier today I took money out the ATM. After checking the app the amount is so much higher than the amount I received.,wrong_amount_of_cash_received,45
Send my card as soon as you are able to.,card_delivery_estimate,12
I see a direct debit that I didn't authorize,direct_debit_payment_not_recognised,33
Why does it say my transfer failed?,failed_transfer,17
What is the reason for the identity check,why_verify_identity,43
Do you accept credit cards from the US,supported_cards_and_currencies,26
There is a odd withdrawal on my account.,cash_withdrawal_not_recognised,46
About this card PIN?,get_physical_card,47
Which countries do you currently support?,country_support,48
What's the procedure for canceling a purchase?,request_refund,9
I have a duplicate payment on my account,transaction_charged_twice,20
"If I need more cards, are there any fees?",getting_spare_card,49
Can I link your physical card,card_linking,50
I can't use my card for anything,card_not_working,51
I think the rate that was applied to my purchase using foreign currency is wrong. Help!,card_payment_wrong_exchange_rate,41
I want to op up my account by using bank transfer. How do I go about it?,transfer_into_account,52
The cast deposit from a week ago still is not in my account. Why?,balance_not_updated_after_cheque_or_cash_deposit,53
How do I get another card,getting_spare_card,49
I don't think my top up is working correctly,top_up_failed,54
I've made a card payment a couple of days ago now but it looks like the money is stuck. How long does it typically take for the payment to go through?,pending_card_payment,55
The machine gave me the wrong amount of cash.,wrong_amount_of_cash_received,45
Is it possible to link a new card?,card_linking,50
Will I be charged if someone needs to send me money?,top_up_by_bank_transfer_charge,56
I see some transactions that I don't recognize.  I think someone stole my details.,compromised_card,18
My card has gone missing.,lost_or_stolen_card,38
"Will you accept my credit card, it my only one.",supported_cards_and_currencies,26
How long will it take to arrive?,card_delivery_estimate,12
I have a problem!  The ATM stole my card!,card_swallowed,57
My exchange rate isn't correct.,card_payment_wrong_exchange_rate,41
"I read about the auto-top up function, but can't find it in the app.",automatic_top_up,58
What is the top-up limit?,top_up_limits,5
How can I use American Express to add funds to my account?,supported_cards_and_currencies,26
Can my friends top up my account?,topping_up_by_card,59
There is a direct debit charge on my account that I don't recognize.,direct_debit_payment_not_recognised,33
Can I see where my money is being transferred from?,verify_source_of_funds,60
How do I make an exchange from one currency to another?,exchange_via_app,21
Can I deposit money using Apple Pay?,apple_pay_or_google_pay,61
Why isn't my deposit in my account?,balance_not_updated_after_cheque_or_cash_deposit,53
An extra pound was charged!,extra_charge_on_statement,62
Why am I being charged a hidden fee?,card_payment_fee_charged,6
I would like a second card.,getting_spare_card,49
What's the process of changing from GBP to AUD?,exchange_via_app,21
Why hasn't a transaction I did to my friend arrived yet?,transfer_not_received_by_recipient,0
"If my card is trapped in the ATM, what do I do?",card_swallowed,57
I know there's an auto-top option but I can not locate it when I look?,automatic_top_up,58
